author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
张洋,2025年中报概况:山西证券2025年上半年实现营业收入16.41亿元，同比+17.22%；实现归母净利润5.24亿元，同比+64.47%；基本每股收益0.15元，同比+66.67%；加权平均净资产收益率2.88%，同比+1.09个百分点。2025年半年度拟10派0.50元（含税）。点评：1.2025H公司经纪业务净收入、利息净收入占比出现提高，投行及资管业务净收入、其他收入占比出现下降，投资收益（含公允价值变动）占比持平。2.代买净收入增幅明显，席位、代销净收入均有明显下滑，合并口径经纪业务手续费净收入同比+47.04%。3.股权融资规模同比明显回升，债权融资规模保持快速增长，合并口径投行业务手续费净收入同比+45.69%。4.券商资管业务加快多元化布局，管理规模稳中有升，合并口径资管业务手续费净收入同比-29.19%。5.权益自营坚持非方向投资布局，固收自营收益率大幅跑赢市场指数，合并口径投资收益（含公允价值变动）同比+13.96%。6.两融余额随市小幅回落，持续压降股票质押规模，合并口径利息净收入同比由负转正。投资建议:报告期内公司财富管理业务持续深化买方投顾转型，深挖存量资产潜力；投行业务大力拓展财务顾问、债权融资业务，手续费净收入实现明显增长；资管业务加快完善产品布局，拓展销售渠道，公募业务规模保持增长趋势；权益自营坚持非方向投资布局，固收自营有效应对债市波动。公司近年来业绩稳定性处于中小券商前列，在各主营业务领域已逐步探索并形成基于自身资源禀赋的差异化竞争力。预计公司2025、2026年EPS分别为0.24元、0.26元，BVPS分别为5.17元、5.36元，按9月9日收盘价6.46元计算，对应P/B分别为1.25倍、1.21倍，维持“增持”的投资评级。风险提示：1.权益及固收市场环境转弱导致公司业绩出现下滑；2.股价短期波动风险；3.资本市场改革的政策效果不及预期；4.超预期事件导致公司的盈利预测与实际经营业绩产生明显偏差,,中原证券,增持,[None],2025-09-10,,增持,6417172,pdf_downloads/2025/2025-09-10/002500-山西证券（002500）：经纪投行同比高增，自营业务稳定性强.pdf,002500,山西证券,山西证券（002500）：经纪投行同比高增，自营业务稳定性强
张洋,2024年年报概况:山西证券2024年实现营业收入31.52亿元，同比-9.18%；实现归母净利润7.12亿元，同比+14.86%；基本每股收益0.20元，同比+17.65%；加权平均净资产收益率3.98%，同比+0.45个百分点。2024年末期拟10派0.50元（含税）。点评：1.2024年公司经纪及资管业务净收入、利息净收入、投资收益（含公允价值变动）占比出现提高，投行业务净收入、其他收入占比出现下降。2.财富管理业务持续发力买方投顾与机构业务，经纪业务手续费净收入同比+31.86%。3.股权融资业务随市承压，债权融资规模再创历史新高，合并口径投行业务手续费净收入同比-12.18%。4.资管规模小幅回落，但净收入连续四年实现正增长，合并口径资管业务手续费净收入同比+6.94%。5.权益自营全面压降方向敞口，固收自营成为公司利润重要增长极，合并口径投资收益（含公允价值变动）同比-7.49%。6.两融余额随市小幅回升，大幅压降股票质押规模，合并口径利息净收入同比+59.42%。投资建议:报告期内公司财富管理业务持续提升服务能力，服务生态日趋完善，机构客户规模保持快速增长；债权融资业务规模再创历史新高，山西省内具备明显的品牌优势；资管业务提升“固收+”战略定位，加快多资产、多策略、多工具布局，连续第四年实现收入增长；FICC业务投资收益率保持较高水平，固收自营成为公司利润重要增长极。公司近年来在经纪、投行、资管、自营等主要业务领域已逐步探索并形成基于自身资源禀赋的差异化竞争力。预计公司2025年、2026年EPS分别为0.21元、0.22元，BVPS分别为5.08元、5.15元，按4月28日收盘价5.67元计算，对应P/B分别为1.12倍、1.10倍，维持“增持”的投资评级。风险提示：1.权益及固收市场环境转弱导致公司业绩出现下滑；2.市场波动风险；3.资本市场改革的政策效果不及预期,,中原证券,增持,[None],2025-04-29,,增持,6034149,pdf_downloads/2025/2025-04-29/002500-山西证券（002500）：2024年年报点评：多项业务存在亮点，经营业绩保持稳定.pdf,002500,山西证券,山西证券（002500）：2024年年报点评：多项业务存在亮点，经营业绩保持稳定
张洋,2024年中报概况:山西证券2024年上半年实现营业收入14.00亿元，同比-26.00%；实现归母净利润3.19亿元，同比-17.96%；基本每股收益0.09元，同比-18.18%；加权平均净资产收益率1.79%，同比-0.42个百分点。2024年半年度不分配、不转增。点评：1.2024H公司经纪、资管、投资收益（含公允价值变动）占比出现提高，投行、利息、其他收入占比出现下降。2.代买、席位、代销净收入同比均实现增长，合并口径经纪业务手续费净收入同比+13.96%。3.股权融资规模受整体环境影响降幅较大，债权融资规模保持相对稳定，合并口径投行业务手续费净收入同比-25.16%。4.券商公募规模稳中有升，合并口径资管业务手续费净收入同比+31.97%。5.权益自营压缩方向敞口，构建低波动、低回撤的投资策略，合并口径投资收益（含公允价值变动）同比-25.90%。6.两融余额随市出现回落，股票质押规模保持稳定，合并口径利息净收入同比亏损收窄。投资建议:报告期内公司代买、席位、代销净收入同比均实现增长，推动经纪业务手续费净收入逆市增长；资管业务以固收+为重点，持续优化产品体系和销售体系，手续费净收入保持快速增长；投行业务受市场环境影响有所波动，但债权融资业务山西省内份额稳固；权益自营压缩方向敞口，预计对整体业绩形成一定压力。公司近年来在经纪、投行、资管等主要业务领域已逐步探索并形成基于自身资源禀赋的差异化竞争力。预计公司2024、2025年EPS分别为0.16元、0.18元，BVPS分别为5.04元、5.18元，按10月14日收盘价6.12元计算，对应P/B分别为1.21倍、1.18倍，维持“增持”的投资评级。风险提示：1.固收市场波动导致公司业绩改善的程度不及预期；2.股价短期波动风险；3.资本市场改革的政策效果不及预期,,中原证券,增持,[None],2024-10-15,,增持,5788921,pdf_downloads/2024/2024-10-15/002500-山西证券（002500）：2024年中报点评：经纪业务逆市增长，资管业务快速发展.pdf,002500,山西证券,山西证券（002500）：2024年中报点评：经纪业务逆市增长，资管业务快速发展
张洋,2023年年报及2024年一季报概况:山西证券2023年实现营业收入34.71亿元，同比-16.58%；实现归母净利6.20亿元，同比+7.88%；加权平均净资产收益率3.53%，同比+0.21个百分点。2023年拟10派0.90元（含税）。24Q1实现营业收入6.31亿元，同比-44.64%；实现归母净利润1.59亿元，同比-36.72%。点评：1.23年财富管理客户数及资产量双增，发力机构经纪业务，经纪业务手续费净收入同比-15.75%，24Q1同比基本持平。2.23年股权融资规模降幅较大，各类债券承销金额实现较大幅度增长，合并口径投行业务手续费净收入同比-5.74%，24Q1同比-35.53%。3.23年券商私募资管规模保持增长，券商公募规模实现较大幅度增长，合并口径资管业务手续费净收入同比+19.51%，24Q1同比+55.56%。4.23年权益自营降低组合波动，固收自营投资收益率保持较高水平，合并口径投资收益（含公允价值变动）同比+20.80%，24Q1同比-42.28%。5.23年两融余额小幅回升，股票质押规模小幅回落，合并口径利息净收入同比-322.58%，24Q1同比-12.82%。投资建议:2023年公司发力机构经纪，经纪业务手续费净收入虽有回落但优于行业；债券承销规模大幅增长有效对冲了股权融资规模的下滑；资管公募规模高速扩容，资管业务手续费净收入持续增长。24Q1受市场因素影响，公司经营业绩出现波动，但投资收益（含公允价值变动）在中小券商中的稳定性相对较强。公司深耕山西，区域投行优势地位明显，FICC业务已具备一定行业影响力，资管业务快速发展，已逐步探索并形成基于自身资源禀赋的差异化竞争力。预计公司2024、2025年EPS分别为0.15元、0.18元，BVPS分别为5.04元、5.18元，按4月30日收盘价5.25元计算，对应P/B分别为1.04倍、1.01倍，首次覆盖给予“增持”的投资评级。风险提示：1.权益及固收市场环境转弱导致公司业绩出现下滑；2.市场波动风险；3.资本市场改革的政策效果不及预期,,中原证券,增持,[None],2024-05-03,,增持,5618899,pdf_downloads/2024/2024-05-03/002500-山西证券（002500）：2023年年报及2024年一季报点评：发力机构经纪，区域投行优势明显，资管快速发展.pdf,002500,山西证券,山西证券（002500）：2023年年报及2024年一季报点评：发力机构经纪，区域投行优势明显，资管快速发展
"李隆海,许建锋","净利润同比增幅居行业前列。2019年上半年，公司实现营业收入31.36亿元，同比+5.23%；实现归母净利润4.28亿元，同比+288.31%，增幅在已公布上半年业绩的券商中靠前；扣非归母净利润4.26亿元，同比+285.18%，增速与归母净利润一致，盈利质量较优；加权平均ROE为3.42%，较去年同期增加2.54个百分点。自营业务、其他业务净收入（其他业务收入-其他业务成本）、投行业务及经纪业务对净利润增长贡献较大；信用业务净收入下降及管理费用增加对净利润增幅拖累较大。    
    经纪业务同比增幅高于行业整体。公司构建面向各类客户的“1+N”服务体系，完善产品供给，迭代系统提升运营效率，全方位落地财富管理转型；机构业务方面，公司布局公务基金券商结算业务和金融同业机构债券经纪业务。截止2019年6月末，经纪业务客户总数达到185万余户。2019年上半年，公司代理买卖证券业务净收入为2.80亿元，同比+34.00%，高于行业整体同比增幅+22.06%。    
    信用业务净收入下降。公司持续化解股票质押存量风险，股票期权经纪业务未发生强行平仓及行权违约风险，截止2019年6月末，融资融券业务规模为47.59亿元，股票质押业务待购回金额为16.53亿元。2019年1-6月共计提信用减值准备4132万元，其中其他债券投资计提4311万元，占计提价值总额比重为104.33%，买入返售金融资产转回548万元，股票质押风险有所缓释。2019年上半年，公司利息净收入为-1.08亿元，亏损较去年同期有所扩大（2018年上半年利息净收入为-0.50亿元），主要是利息收入减少导致。    
    自营业务对净利润贡献最大。公司自营业务涵盖权益类和FICC类，其中FICC类包括固定收益类投资和贸易金融业务。2019年上半年，公司权益类投资积极布局科创板及港股，固收类业务稳健有序开展，债券交割量在行业中位列第7位，票据业务稳健，强化持仓资产和交易对手管理，商品业务交易策略持续优化。上半年，公司自营业务净收入（投资净收益-对联营企业和合营企业的投资收益+公允价值变动净收益）为9.33亿元，同比+51.47%，对归母净利润增幅贡献最大。    
    资管业务净收入同比降幅低于行业整体。截止2019年6月末，公司资管存续规模为434.51亿元，其中集合类资管产品73.18亿元，定向类资管产品262.93亿元，专项类资管产品98.40亿元。2019年1-6月发行公募基金10亿份，6月末公募基金存续规模58亿元。受压降通道业务趋势影响，2019年1-6月，公司受托客户资产管理业务净收入0.70亿元，同比-6.70%，降幅低于行业整体（同期行业整体降幅为-8.32%）。    
    投行业务净收入同比增幅高于行业整体。2019年上半年，公司完成新三板挂牌项目4家，辅导3家挂牌企业完成定向增发；完成1个IPO、1个再融资、1个可转债、1个并购重组、11个公司债项目，总融资规模超200亿元，2个科创板项目排队中；上半年，股权承销金额行业排第28位，债券承销金额行业排第25位；上半年实现证券承销业务净收入1.66亿元，同比+71.18%，增速行业整体（同期行业整体降幅为+26.66%）。    
    国际业务亏损大幅减少。2019年上半年，公司全资子公司山证国际完成大地控股收购智城控股股份、奥园健康生活香港挂牌上市，作为晋商银行的财务顾问、联席账簿管理人及联席牵头经办人，协助晋商银行实现香港挂牌上市；获得RQFII资格。2019年上半年，山证国际实现净利润-172.18万元，较去年同期亏损大幅减少（2018年上半年山证国际实现净利润-620.17万元）。    
    投资建议。截止2019年8月20日，公司PB为1.81倍，处于近5年历史低位。    
    预期公司2019、2020年EPS分别为0.28元、0.33元，对应2019年8月20日收盘价，2019、2020年PE分别为28.36倍、24.06倍，给予公司谨慎推荐评级。",,东莞证券,谨慎推荐,[None],2019-08-21,,增持,3879969,pdf_downloads/2019/2019-08-21/002500-山西证券（002500）2019年上半年业绩点评：自营业务拉动业绩大幅增长.pdf,002500,山西证券,山西证券（002500）2019年上半年业绩点评：自营业务拉动业绩大幅增长
李锋,"一、事件概述

10月24日山西证券发布2017年第三季度报告，前三季度实现营业总收入34亿元，同比增长113.72%。累积实现归母净利润3.79亿元，同比17.02%，EPS为0.13元/股。

二、分析与判断

公司营收同比大幅增长，得益于公司其他类和自营业务收入提升

公司2017年营业收入保持高速增长，当季营业收入实现13.02亿元，同比增长97.91%。累计实现归母净利润3.79亿元，同比增长17.02%。收入增长原因：公司实现投资收益7.65亿元，同比增长189.02%；其他业务收入16.93亿元，同比增长903.93%。

公司业绩表现优于行业，净利润环比增长超四成

1-9月29家上市券商整体累计营收同比下降3%，公司累计同比113.72%表现优于行业水平。公司单季营收实现13亿元，环比增长3.17%。业务结构方面，第三季度（7-9月）其他业务收入7.78亿元，占比60%，其次是自营业务收入2.7亿元，占比20.77%，经纪业务收入1.4亿元、投行业务1.2亿元、资管0.11亿元、基金管理0.15亿元，两融及股权质押收入212.2万元。公司单季实现归母净利润1.42亿元，同比-0.62%，环比增长46.39%。

其他业务收入占总营收近六成，期货子公司现货业务贡献增长

子公司格林大华业务转型成效显著，推动其他业务收入大幅增长，上半年公司对格林大华增资0.9亿元成为全资子公司，当年业绩回报显著，仓单业务收入持续大幅增长。前三季度其他业务收入累计同比增长超9倍，单季度实现收入达到7.78亿元，超过营收半数。

三、盈利预测与投资建议

预计公司2017-2019年收入为42.2、46.5、50.6亿元，增长率为79.87%、10.14%、8.86%，归属净利润为5.74、6.82、8.81亿元，增长率为22.68%、18.94%、29.06%，EPS为0.20、0.24、0.31元/股，对应PB为2.3、2.19、2.06，予以强烈推荐。

四、风险提示：

归母净利润不及预期；业务收入增加不及预期；市场波动超出预期等。",,民生证券,强烈推荐,[None],2017-10-26,,买入,2073530,"pdf_downloads/2017/2017-10-26/002500-山西证券(002500)第三季度报告点评：自营+期货驱动营收,业绩同比增长显著.pdf",002500,山西证券,"山西证券(002500)第三季度报告点评：自营+期货驱动营收,业绩同比增长显著"
郎达群,"投资要点

       事件：公司发布2017年半年报，报告期内实现营业收入20.99亿元，同比增长124.9%；实现归属于上市公司股东净利润2.37亿元，同比增长30.9%；实现基本每股收益0.08元；加权平均净资产收益率1.92%，较2016年同期上升0.46个百分点。

股东背景雄厚，业务牌照齐全。公司控股股东是山西省金融投资控股集团有限公司，持股比例30.42%。山西金控作为省属全牌照金融控股集团，定位为山西国有金融资本投资平台，主要通过投资控股、产业培育、资本整合，助力山西经济结构调整和转型升级。公司作为子公司，可以与山西金控旗下其他公司开展高效的内部联动合作，为省内客户提供一揽子综合金融服务。山西证券在发展过程中不断增加业务资格储备，旗下的子公司业务范围几乎覆盖了所有证券领域，能够为客户提供多样化的综合金融服务。

投资收益大增拉动业绩逆势上扬。公司上半年营业收入翻番的主要原因有两方面：一是期货子公司格林大华报告期内开展现货交易，使营业收入和营业成本均大幅增长约9亿元；另一方面是公司上半年固定收益投资增速明显，拉动整体投资收益同比大增逾三倍达到4.95亿元，而这也是公司上半年业绩逆势上扬的主要动力。

投行业绩稳定，资管规模持续扩张。公司营收结构中，扣除期货业务的交易型营收贡献，投行业务的营收贡献最高。在报告期内，公司投行业务实现营业收入333.7亿元，同比增长5.8%，延续了稳定增长趋势。而公司资产管理业务注重规模扩张，上半年受托资产规模达到338.88亿元，同比大增266%。其中，主要增量来自于定向资管产品，占比超过90%。

盈利预测与投资建议。预计2017-2019年EPS分别为0.19元、0.22元、0.26元，未来三年归母净利润将保持16%的复合增长率，参照公司历史估值水平给予公司2017年70倍估值，对应目标价13.30元，给予“增持”评级。

风险提示：市场行情或低于预期，公司子公司业绩或低于预期。",,西南证券,增持,[None],2017-08-23,,增持,2035231,"pdf_downloads/2017/2017-08-23/002500-山西证券(002500)：受益投资向好,业绩逆势增长.pdf",002500,山西证券,"山西证券(002500)：受益投资向好,业绩逆势增长"
李锋,"一、事件概述

山西证券发布2017年半年度报告：公司2017年上半年实现营业收入20.99亿元，同比增长124.86%；实现归母净利润2.37亿元，同比增长30.9%；EPS为0.0839元/股。

二、分析与判断

投资高弹性、投行多储备，净利增长逾三成

上半年，公司营收增长124.87%，增幅远超行业平均。归因于：1、低基数效应及资本市场回暖影响，自营收入同比增长21.3倍至14.61亿元；2、发挥区位优势，储备项目持续释放业绩，投行收入同比增加5.79%；3、经纪业务转型财富管理，子公司格林大华加快转型、整合资源。

自营收入占比近六成，股债双回暖增加业绩弹性

上半年，自营业务受资本市场回暖、子公司开展现货交易影响，收入占比提升58.3个百分点至63.93%，收入贡献跃居首位。经纪、投行、期货、资管收入占比分别下降33.7、12.5、8.0、4.2个百分点。其中，投行业务区域与品牌优势稳固，报告期内完成项目19个，收入占比虽由去年同期的27.07%降至14.6%，但收入贡献仍保持第二；经纪业务受市场交易量萎缩、佣金率下滑以及公司主动转型财富管理影响，收入占比降至13.93%。在股债双回暖趋势下，公司业绩弹性大幅增加。

背靠山西金控，受益国企改革，业务发展空间广阔

公司控股股东山西金控，是省属全牌照金融控股集团，定位于山西国有金融资本投资平台，战略资源丰富。公司作为山西省内唯一的综合类证券公司，可与其旗下平台公司联动合作，发挥协作效应。受益于山西省资源型经济转型及供给侧改革深化，以及下半年国企改革加速，公司经纪、投行、自管业务的品牌优势将进一步深化。

设立另类投资子公司，业务边界再拓宽

8月18日，公司董事会会议同意出资10亿元人民币设立另类投资子公司山证创新，有利于公司形成多品种、多策略、跨市场的投资业务模式，拓宽投资业务边界。

三、盈利预测与投资建议

背靠山西金控，战略资源丰富，受益地方国企改革；投资业务增加业绩高弹性，投行储备项目释放推动业绩增长。我们看好公司未来发展，预计山西证券2017-2019年BVPS4.5/4.7/5.0元，对应PB分别为2.6、2.4和2.3倍，给予强烈推荐评级。

四、风险提示：1、资本市场大幅波动；2、公司业务发展不及预期。",,民生证券,强烈推荐,[None],2017-08-22,,买入,2037995,"pdf_downloads/2017/2017-08-22/002500-山西证券(002500)2017年半年报点评：净利增长逾三成,自营提高业绩弹性.pdf",002500,山西证券,"山西证券(002500)2017年半年报点评：净利增长逾三成,自营提高业绩弹性"
"魏涛,孙立金","事件：4月20日，山西证券公布2016年报及2017Q1季报。2016年实现营业收入23.4亿元，同比-39%；归母净利润4.7亿元，同比-68%；稀释每股收益0.17元/股，同比-70%。股利分配方面，每10股发放现金红利0.9元。2017年一季度实现营收8.4亿，同比+125%；规母净利润1.4亿，同比+175%；稀释每股收益0.0496，同比165%。

点评：

投资业务、投行业务带动一季度业绩大幅增长，投行业务有望继续发力。2016年公司证券经纪业务收入占营收比重为36%，投行占比为34%，是第二大收入来源，自营业务占比23%，期货经纪业务占比6%，资管业务占比4%。公司基本发展思路为“战略发展投行业务、转型发展经纪业务、规模发展资管业务、稳健发展投资业务”。一季度投资收益2.5亿，去年同期仅515万；公允价值变动收益0.38亿，较去年同期-0.53亿大幅改善；投行业务收入1.6亿，同比增长30%；资管业务同比增长50%，基金管理业务手续费收入同比增长49%。

背靠山西金控，综合金融服务能力强。公司控股股东山西金控是集银行、证券、保险、基金、信托等金融业态为一体的省属全牌照金融控股集团，定位于山西国有金融资本投资平台，通过开展投资控股、产业培育、资本整合，推动山西省金融产业集聚发展，助力山西经济结构调整和转型升级。公司作为子公司，可以与山西金控旗下其他公司开展高效的内部联动合作，通过协同机制，为政府类客户、大型企业集团和中小企业。公司业务牌照齐全，基本覆盖几乎所有证券领域，能够为客户提供多样化的综合金融服务。区位优势明显，目前山西证券拥有证券营业部78家，其中山西省内48家。山西省内唯一的综合类证券公司，公司多年来深耕山西市场，注重与地方政策、经济、民生相融，得益于山西省国家资源型经济转型综合配套改革，供给侧结构性改革、国企国资改革等都将为公司各项业务拓展提供广阔的空间。

投资建议：公司业绩超预期，投资收益大幅改善；公司背靠地方金控平台，受益国企改革。给予增持评级，六个月目标价：12元/股。

风险提示：监管趋严，政策性风险；业绩受股市波动影响的风险。",,太平洋证券,增持,[None],2017-04-27,,增持,1971836,pdf_downloads/2017/2017-04-27/002500-山西证券(002500)2016年报及2017Q1季报点评：低基数效应显著，弹性标的.pdf,002500,山西证券,山西证券(002500)2016年报及2017Q1季报点评：低基数效应显著，弹性标的
虞婕雯,"动态事项

10月21日，山西证券公布了2016年三季报业绩：公司1-9月实现营业收入15.91亿元，同比下降44.22%；实现归属母公司净利润3.24亿元，同比下降73.90%，每股基本收益0.1160元。截至9月末，公司总资产461.14亿元，较年初减少4.29%；归属于上市公司股东的净资产121.09亿元，较年初减少3.79%。公司实现净资产收益率2.59%。

主要观点

1）单季度表现趋好同比首次增长：公司Q1、Q2和Q3分别实现营业收入3.73亿元、5.60亿元和6.58亿元，业绩环比数据不断改善，单季度同比首次增长。经纪业务：截止9月末，公司的经纪业务股基市占率0.46%，较去年年底略有下滑。投行业务：公司子公司中德证券今年上半年股权投行业务上表现亮眼，然后在8月受证监会立案调查，公司业务暂停一个月，但暂停时间较短，处罚金额影响有限，截止9月，公司的股权承销金额排名位列第八。资管业务：公司资产管理业务规模不断增长，基金业务稳步运作，今年以来资管业务手续费净收入同比增长265%，公司在10月已取得策略精选策略精选灵活配置混合型基金的批复，未来，公司的资产管理业务收入占比有望进一步提升。自营业务：上半年公司自营业务下降幅度较大，Q3单季公司自营收入表现出较高的弹性，投资收益+公允价值变动环比增长60%。

2）山西金控成立未来有望受益股东金控大平台：公司9月控股股东变更暨完成股份变更过户手续，其原控股股东山西国信投资集团有限公司与山西金融投资控股集团有限公司之间的股份无偿划。本次划转完成后，山西金控无偿受让直接持有公司8.60亿股，占公司全部股份的30.42%；并通过子公司山西信托间接持有公司0.12亿股。因此，山西金控合计持有公司8.72亿股，占本公司全部股份的30.84%。公司实际控制人不变，仍为山西省财政厅。

山西金控系经山西省人民政府批准，于2015年12月16日成立的国有独资公司，注册资本106.47亿元，是山西省政府在金融领域的资本投资、管理公司，也是山西省首个全牌照地方金融控股集团，旗下公司包括银行、证券、保险、信托、产权中心、股权中心、投资、实业等多领域。山西金控的成立是为推进山西省地方金融企业体制机制改革、整合省内金融资源、健全地方金融企业法人治理结构、全面提升竞争力与服务实体经济的能力。未来，山西金控旗下的银行、证券、保险、信托、产权中心、股权中心、投资、实业等领域之间高效的内部联动合作机制、丰富的共享资源，都将有效促进公司业务的全面发展。

投资建议

公司单季度业务趋势逐步向好，投行业务的立案影响相对有限。我们建议可以关注山西金控平台的资源整合，旗下的金融公司之间高效的内部联动合作机制、丰富的共享资源等，未来将有效促进公司业务的全面发展。因此，我们给予未来十二个月“谨慎增持”评级，我们预计2016年、2017年公司EPS0.19和0.24元。",,上海证券,谨慎增持,[None],2016-10-25,,增持,1873935,"pdf_downloads/2016/2016-10-25/002500-山西证券(002500)：单季表现不断改善,投行业务影响较小.pdf",002500,山西证券,"山西证券(002500)：单季表现不断改善,投行业务影响较小"
"沈娟,罗毅,彭文","加速推动转型及创新发展，业务及收入结构进一步优化

2016年上半年归属上市公司净利润1.81亿元，同比-85%，营业收入9.33亿元，同比-62%，EPS为0.07元。公司业绩出现较大幅度下滑，主要受市场环境影响，经纪、两融业务缩量拖累整体业绩。公司聚焦“投资、资产管理和财富管理”三大领域，夯实客户、体制、人才基础。业务方面加速推进转型和创新发展，拓展多元化投资渠道，业务和收入结构进一步优化。公司业绩有望迎来拐点。

经纪积极转型财富管理，再融资业务规模大幅提升

经纪以客户为导向，重点打造投顾团队和产品体系，互联网金融快速发展，“财智慧”投顾产品品牌效应初成；进一步加强网点建设，优化网点布局。上半年股基交易量6400亿元，市占率0.46%，较2015年同期略有下滑，实现经纪业务净收入3.76亿元。投行业务通过控股子公司中德证券开展，上半年完成股权类项目10个，募集资金560.5亿元，其中再融资业务规模大幅提升；完成债券类项目14个，募集资金101.7亿元；新三板挂牌16家。上半年实现投行业务净收入2.95亿元，同比下降11%。目前中德证券正受证监会立案调查，未来业务开展或存风险。

自营严控风险有序推进，资管规模及业绩亮丽增长

自营遵循“稳健投资，均衡配置”的理念，以风险控制和盘活存量资产为重点，上半年实现投资净收益0.56亿元。直投依托全资子公司龙华启富开展，创业投资、新三板、pre-IPO、并购重组等业务稳步推进。资管业务贯彻“为客户提供低风险、稳定收益的多样化产品和财富管理服务”的综合定位，探索与第三方机构业务合作模式。截至2016年6月末管理各类理财产品51只，业务规模127.3亿元，同比增长115%。公募基金业务稳步运作，旗下2只基金产品合计管理规模40.26亿元，同比上升164%。上半年实现资产管理业务净收入0.52亿元，同比大幅增长550%。

资本中介受市场影响业绩回落，设立山证国际开启海外业务新篇章

资本中介业务受市场环境影响业绩回落，截至2016年6月两融业务规模合计46.14亿元，约定购回业务待购回交易金额0.67亿元，股票质押业务回购规模30.64亿元。上半年实现利息净收入1.36亿元，同比下降52%。国际业务有序推进，上半年公司在香港设立山证国际子公司，并完成对山证国际增资计划。通过布局国际业务公司业务网络和资格储备更趋完备，盈利模式更趋多样化，全业务链优势加强。

股东旗下金融资源丰富，业务协同优势显著

目前公司控股股东仍为山西国信，2015年12月山西金控挂牌成立，根据筹组方案，山西金控将通过受让山西国信持有公司股份成为公司控股股东。山西金控是山西省首个全牌照地方金融控股集团，旗下金融资产丰富，有望形成高效的内部联动合作机制，为公司提供良好的发展平台。投行监管落定，处罚力度低于市场预期，盈利预测对应小幅上调。预计2016-18年EPS为0.18元、0.20元和0.23元，对应PE为82倍、73倍和65倍，维持增持评级。

风险提示：中德证券业务开展受阻，市场波动风险。",,华泰证券,增持,[None],2016-08-25,,增持,1846038,"pdf_downloads/2016/2016-08-25/002500-山西证券(002500)：业务稳健发展,改革催化成长.pdf",002500,山西证券,"山西证券(002500)：业务稳健发展,改革催化成长"
